Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
102,10610495,"Aroofa Nasir","2023-08-11 07:18:33",0.98803,63,aroofanasirmsds2021
103,10787194,AgileSlothML,"2023-08-11 19:15:06",0.98564,1,enlight88
104,10652110,"Barry Allen #4","2023-07-07 06:11:03",0.96650,3,lostar91
105,10791055,"Luswis Arya Gunawan","2023-08-13 10:06:37",0.93540,4,lswsrya
106,10630154,"Yeamim Touhid","2023-07-01 12:50:33",0.89473,1,yeamimtouhid
107,10652201,Humphrey00407,"2023-07-12 07:04:09",0.89473,14,humphrey00407
108,10619213,"Amir hosein Sedaghati","2023-07-12 19:22:44",0.89473,19,amirhoseinsedaghati
109,10656362,"Guo zicheng","2023-07-15 08:13:18",0.89473,38,guozicheng
110,10685777,"Mobin Mehrpour","2023-07-15 21:33:44",0.89473,8,mobinmehrpour
111,10726516,XinlinWuu,"2023-07-27 18:54:08",0.89473,12,xinlinwuu
112,10630173,"Balázs Bánáti","2023-07-11 09:48:19",0.87799,18,balazsbanati
113,5262717,"Vivek Gediya","2023-07-23 07:43:45",0.87559,1,vivekgediya
114,10729070,Masarusan,"2023-07-27 06:51:05",0.86842,1,masarusan
115,10798422,Wayne_127,"2023-08-15 09:08:55",0.86363,3,wayne127
116,10761414,"Paweł Łączkowski","2023-08-25 12:45:39",0.85885,10,paweczkowski
117,10630808,HeinrichHeine36,"2023-07-01 17:03:53",0.85406,6,heinrichheine36
118,10634156,B20CI018,"2023-07-03 09:00:42",0.85167,7,jaigoyalb20ci018
119,10651399,rivanhd,"2023-07-07 08:30:36",0.84449,4,rivanhd
120,3211633,grebfar,"2023-07-26 08:56:01",0.84449,11,grebfar
121,10364792,seoyoung47,"2023-08-01 13:11:52",0.83732,1,seoyoung47
122,10403602,"chan jeon","2023-08-10 00:28:15",0.83732,2,chanjeon
123,10711120,QHzhouzheng,"2023-08-26 12:56:37",0.83014,27,qhzhouzheng
124,10654950,"Bruce Lee #4","2023-07-08 09:54:52",0.82775,4,chnliyue
125,10656092,power180,"2023-07-08 10:41:27",0.82775,2,power180
126,10656131,ZHOU,"2023-07-08 10:56:55",0.82775,2,zhou06
127,10711397,"David in the Park","2023-08-18 04:39:33",0.82775,64,chyukpark
128,10722923,"Sulaiman Rasool","2023-08-16 16:09:42",0.82775,10,sulaimanrasool
129,10688240,"Clint Adams #2","2023-07-16 22:01:31",0.82535,4,clintadams
130,4457466,"SIVA RAMA KRISHNA PERUMALLA","2023-07-06 13:32:30",0.82296,1,rrr9029
131,10705224,wertu1505,"2023-08-27 13:52:54",0.82057,123,wertu1505
132,9113969,"Markus Bach","2023-08-25 13:11:26",0.82057,22,markusbach
133,10622292,Igorshepsh,"2023-07-01 19:33:20",0.81818,4,igorshepsh
134,10034364,浪人,"2023-07-04 23:57:51",0.81818,1,rownin
135,10631671,"Chen Hesun","2023-07-05 16:34:44",0.81818,5,chenhesun
136,10649743,"Nguyễn Ngọc Trí Vĩ","2023-07-11 15:27:00",0.81818,33,nguyenngoctrivi
137,10744973,"Minh Nguyen #14","2023-08-03 05:15:38",0.81818,26,minhnguyen2
138,9165137,Stanislaus,"2023-08-12 06:45:29",0.81818,1,mstanislaus
139,10758432,jiasuuuuu,"2023-08-17 03:13:30",0.81818,5,jiasuhzp
140,10626877,"Hannah Tong","2023-06-30 14:16:54",0.81578,3,hannahtong
141,9734193,"Andries Danu","2023-06-30 22:40:55",0.81578,1,eu1234
142,10647080,"Brooke Van Zandt","2023-07-06 14:39:15",0.81578,4,brookevanzandt
143,9779309,melanium,"2023-07-20 12:49:33",0.81578,50,melanium
144,10647067,"Edward Whitwell","2023-07-12 21:56:26",0.81578,27,edwardwhitwell
145,10684250,"Skewed Contour","2023-07-15 07:36:33",0.81578,1,skewedcontour
146,10684232,"Chinzorigt Ganbat","2023-07-15 12:03:41",0.81578,6,chinzorigtganbat
147,10638015,mayushii21,"2023-07-16 04:40:08",0.81578,69,mayushii21
148,10067844,"ayman elamin","2023-07-23 07:35:14",0.81578,23,aymanelamin
149,10714821,ouc_gefuyuan,"2023-07-25 13:54:32",0.81578,24,oucgefuyuan
150,7107289,"Abdessalam Dai","2023-07-26 16:04:14",0.81578,2,abdessalamdai
151,10721631,"Karthikeyan Kannan","2023-07-27 04:50:40",0.81578,7,rkkarthikeyan
152,10182804,"John Smith #16","2023-08-01 15:45:52",0.81578,32,johnsmith44
153,10733870,RideaDragon,"2023-07-28 14:39:51",0.81578,3,rideadragon
154,7155307,Lxyyxxx,"2023-07-29 11:41:35",0.81578,7,lxyyxxx
155,10741859,"sandaruwan kangara","2023-07-31 04:00:45",0.81578,1,sandaruwankangara
156,10732503,chaoyinc,"2023-07-31 07:43:59",0.81578,6,chaoyinc
157,10718873,"Alex Vltchek","2023-08-03 10:10:44",0.81578,5,alexvltchek
158,10737030,AlexKad,"2023-08-06 08:36:54",0.81578,19,alexkad
159,10765858,LoseControl,"2023-08-06 09:27:52",0.81578,1,yeaaaahz
160,10472613,HirotakaUryu,"2023-08-07 04:58:33",0.81578,14,hirotakauryu
161,10006146,s1eep-1ng,"2023-08-10 17:22:45",0.81578,2,s1eep1ng
162,10782529,ChanHPark,"2023-08-10 23:31:13",0.81578,9,chanhpark
163,10786167,SooYKim,"2023-08-13 02:42:04",0.81578,18,sooykim
164,10787740,"Pii Goo","2023-08-12 02:23:28",0.81578,2,piigoo
165,10650660,"Sibo Xiao","2023-08-12 06:23:52",0.81578,2,siboxiao
166,10787310,SavorSauce,"2023-08-13 00:23:05",0.81578,7,nathaniellybrand
167,10783855,"Jasper Gallagher","2023-08-13 19:52:17",0.81578,5,jaspergallagher
168,8579852,domiso_3,"2023-08-27 07:45:02",0.81578,93,domiso3
169,10788751,"Jiman Kwon","2023-08-15 13:33:55",0.81578,11,jimankwon
170,10759192,"Marcos Eduardo #2","2023-08-18 06:15:31",0.81578,69,marcoseduardo96
171,6745442,"Tien Wolfy","2023-08-22 07:59:39",0.81578,2,tienwolfy
172,10836395,"Ayan Mukherjee #2","2023-08-26 17:30:30",0.81578,1,ayan2002
173,10602335,"Dongwan Kang","2023-07-01 19:02:08",0.81339,1,dongwankang
174,10564761,HeyuSi,"2023-07-02 01:12:42",0.81339,4,heyusi
175,10632958,"Jihyu Jung","2023-07-02 11:46:35",0.81339,1,jihyujung
176,6943719,"Mario Caesar","2023-07-04 07:25:16",0.81339,1,caesarmario
177,10653294,LimSongJae,"2023-07-08 04:27:50",0.81339,2,limsongjae
178,10631568,"Hari Kim","2023-07-09 13:07:34",0.81339,2,harikim
179,10647644,patrick1103,"2023-07-11 01:24:38",0.81339,39,patrick1103
180,10671989,"ogata joji","2023-08-03 07:10:56",0.81339,12,ogatajoji
181,10621095,REZZHOU,"2023-07-21 06:50:21",0.81339,49,rezzhou
182,10174720,wasdseok,"2023-08-07 05:31:25",0.81339,9,wasdseok
183,10786161,"Sean Zhang #3","2023-08-11 12:26:44",0.81339,1,seannlzhang
184,10788483,"[Deleted] fe6ef539-56aa-49db-a049-f9668a3456e0","2023-08-17 03:24:50",0.81339,35,del=8222833d6e8da870
185,10804326,"matsuba haruka","2023-08-17 05:35:22",0.81339,8,matsubaharuka
186,10790236,"Kahlil Ello","2023-08-19 05:37:33",0.81339,2,kahlilello
187,10820432,cctsaimustoes,"2023-08-22 08:03:55",0.81339,1,cctsaimustoes
188,10637888,"Mohammad Javad Moshiri","2023-07-05 03:53:44",0.81100,7,mjmthegreat
189,10658085,"Sumukh M G","2023-07-10 04:59:48",0.81100,2,sumukhmg35
190,10644174,"charles #4","2023-07-14 05:56:09",0.81100,23,charleschen88
191,3064442,matho56,"2023-07-13 15:23:03",0.81100,10,matho56
192,10692134,"Komronkhuja Ibragimov","2023-07-17 14:39:22",0.81100,1,kamranibragimov
193,10516373,Derange,"2023-07-17 15:50:39",0.81100,2,derange
194,10507544,"jiancong ma","2023-07-22 06:10:32",0.81100,6,jiancongma
195,10646176,clayton21,"2023-07-28 14:45:58",0.81100,77,clayton21
196,10723144,data_fawwz,"2023-07-28 14:28:32",0.81100,23,datafawwz
197,10718910,"apn access-point","2023-07-31 15:49:08",0.81100,47,apnaccesspoint
198,2020396,"SAIT VNTU","2023-08-08 09:20:24",0.81100,1,vbmokin
199,10763665,Sarden,"2023-08-11 10:48:12",0.81100,15,sarden
200,10778504,"Eric Zhuo","2023-08-12 14:57:06",0.81100,34,ericzhuo
201,10472611,"Taichi Shimokobe","2023-08-18 08:46:54",0.81100,22,taichishimokobe
202,10805325,alangod,"2023-08-21 10:08:31",0.81100,20,alangod
203,10413712,"YU-XIN, LIN","2023-08-26 12:39:07",0.81100,1,ax130885
204,10648155,KunN21,"2023-07-11 00:40:42",0.80861,37,kunn21
205,2650632,abramc,"2023-08-25 01:10:43",0.80861,41,abramc
206,10676693,yeonsunm,"2023-07-14 08:28:42",0.80861,3,yeonsunm
207,10677597,Cicero2023,"2023-07-15 03:35:51",0.80861,13,cicero2023
208,10678609,"Javier Edgar Cruz","2023-07-17 18:00:28",0.80861,7,javieredgarcruz
209,10701466,"Eduard A. Stefanescu","2023-07-23 01:44:43",0.80861,16,eduardastefanescu
210,5394416,"Abubaker M","2023-07-28 04:17:57",0.80861,27,abubakerm
211,6962338,phyang,"2023-07-27 13:09:42",0.80861,2,phyang1977
212,10517864,dsninja,"2023-08-15 02:10:07",0.80861,168,csgrad
213,10760101,"Oleksandr Radovetskyi","2023-08-04 09:54:15",0.80861,1,oleksandrradovetskyi
214,10606189,jimmyfeiyi,"2023-08-11 08:43:40",0.80861,2,jimmyfeiyi
215,10754120,axemath,"2023-08-18 23:21:44",0.80861,10,axemath
216,10567059,"Marco Fanciulli","2023-06-29 07:30:04",0.80622,2,marcofanciulli
217,10619069,"Shogo UTM","2023-06-28 23:48:36",0.80622,5,shogoutm
218,10618968,"Rasmus Nylander","2023-08-10 22:51:43",0.80622,45,nylanderdev
219,10548996,"Jahid hossen","2023-06-30 15:08:14",0.80622,1,jahidhossen
220,10346349,"Iori Fuchigami","2023-07-03 10:10:19",0.80622,5,iorifuchigami
221,10630113,tizaki,"2023-07-02 11:28:39",0.80622,6,tizaki
222,10270568,"Takaji Kazuya","2023-07-03 10:31:28",0.80622,2,takajikazuya
223,10637701,Tsubasa1923,"2023-07-03 15:23:55",0.80622,1,tsubasa1923
224,9345947,"moaz eldsoky","2023-07-04 03:02:16",0.80622,1,moazeldsoky
225,10641151,"Thapa Bigyan","2023-07-08 12:59:11",0.80622,7,thapabigyan
226,10648698,"[Deleted] 42734dd2-63e8-40fe-9c66-06162a05fdd7","2023-07-06 08:12:25",0.80622,1,del=0abfef38b4194ddf
227,10626864,mcwdqkl,"2023-07-06 13:41:39",0.80622,2,mcwdqkl
228,5902527,ulyumdzhi,"2023-08-11 17:35:53",0.80622,44,ulyumdzhi
229,10649931,binfengrobust,"2023-07-13 09:50:51",0.80622,15,binfengrobust
230,10660252,"Daiki Shimono","2023-07-10 00:29:53",0.80622,1,daikishimono
231,10675004,"Franek Sakowski","2023-07-14 00:44:40",0.80622,16,franeksakowski
232,10501707,"Chihhao Chen","2023-07-14 03:17:39",0.80622,7,daniel7634
233,10678696,"David #59","2023-07-17 05:47:15",0.80622,18,dparkmit
234,899334,PauloMiguel,"2023-07-15 21:54:49",0.80622,7,pbmiguel
235,10688586,"Eric Lam #3","2023-07-16 16:38:47",0.80622,3,miracle31
236,10689689,"Ivan Leong","2023-07-19 00:49:56",0.80622,6,ivanle0ng
237,10666710,浅野卓磨,"2023-07-17 04:52:40",0.80622,5,asapeee
238,10691657,"Doug MacIntosh","2023-07-17 12:45:07",0.80622,1,dougmacintosh
239,10552085,nihilisticneuralnet,"2023-08-22 18:37:06",0.80622,42,nihilisticneuralnet
240,10724970,kfj1124,"2023-07-26 06:39:01",0.80622,1,kfj1124
241,10669619,spammaster@o2.pl,"2023-07-27 22:43:02",0.80622,8,spammastero2pl
242,10740269,"Muhammad Usman #10","2023-07-30 16:55:19",0.80622,2,usmanlovescode
243,10742012,ryota517,"2023-07-31 05:15:04",0.80622,1,ryota517
244,10536919,"Yu Kitamura","2023-07-31 05:25:48",0.80622,5,yukitamura
245,10713199,larocca1017,"2023-08-01 14:47:02",0.80622,24,larocca1017
246,10745854,Jayalt,"2023-08-01 04:33:32",0.80622,10,jayalt
247,10746480,FrankFury,"2023-08-01 12:53:04",0.80622,2,frankfichtenmueller
248,10752823,"Rithik Gundeti","2023-08-02 16:51:05",0.80622,1,rithikgundeti
249,10781624,"Haiqi Shi","2023-08-10 07:27:20",0.80622,1,haiqishi
250,9309344,SebStutt,"2023-08-14 19:43:23",0.80622,42,sebstutt
251,10018159,"Moaz Eldsokyx","2023-08-24 02:53:51",0.80622,1,moazeldsokyx
252,10733950,"Anatolii Balakiriev","2023-08-26 21:06:11",0.80622,17,anatoliibalakiriev
253,10836746,AndréNPrestes,"2023-08-26 21:18:59",0.80622,1,andrnprestes
254,10588346,"Rui Pacheco","2023-06-28 22:11:11",0.80382,1,ruipachec
255,10601439,"Larry li","2023-07-04 00:19:16",0.80382,3,hengwangli
256,9745296,"Sandeep Sandy 124","2023-08-24 07:57:50",0.80382,23,sandeepsandy124
257,10419679,Yusuke0853,"2023-08-21 09:48:42",0.80382,8,yusuke0853
258,10364338,bionicbrain,"2023-08-17 13:41:49",0.80382,4,bionicbrain
259,10620648,"Alexandra Balmaceda","2023-07-08 20:24:07",0.80382,35,alexandrabalmaceda
260,10642363,JonasBonas,"2023-07-07 18:48:31",0.80382,4,jonasbonas
261,10557984,"André Gonçalves #3","2023-07-04 21:35:56",0.80382,1,andrefgoncalves
262,10646253,"Dima Ilyushenko","2023-07-10 15:19:07",0.80382,27,dimailyu
263,10601929,"Adeleye Kayode","2023-07-10 06:58:48",0.80382,17,adeleyekayode
264,10670991,"Tsai-Hsuan Lin","2023-07-12 06:51:23",0.80382,2,tsaihsuanlin
265,10675540,yrinlim,"2023-07-14 05:25:09",0.80382,7,yrinlim
266,10621106,"Yuta Hori","2023-07-13 07:47:22",0.80382,23,yutahori1007
267,10590743,"satake koki","2023-07-24 04:28:36",0.80382,11,satake18126
268,10633499,Raviusz,"2023-08-08 04:29:20",0.80382,45,raviusz
269,10679866,Tractor09,"2023-07-15 19:31:30",0.80382,5,tractor09
270,10697235,"Aleksey Zelenberg","2023-07-20 21:32:39",0.80382,17,alekseyzelenberg
271,10692754,"Validation Vindicator","2023-07-26 01:15:38",0.80382,24,"heathkesler,m0untainman"
272,10723010,SunXuanming,"2023-07-27 15:36:38",0.80382,2,sunxuanming
273,10654712,"Αθανάσιος Παππάς","2023-07-26 15:41:12",0.80382,7,thanos8p
274,10754088,dnapes,"2023-08-04 04:32:11",0.80382,14,dnapes
275,10761371,ShaxzoDavronov,"2023-08-05 17:04:41",0.80382,13,shaxzoddavronov
276,10748907,"Anastasiia Rozlyvan","2023-08-05 13:05:06",0.80382,28,rozlyvananastasiia
277,10761970,"[Deleted] a6e23a18-ac8d-401f-8430-d99dd645baa6","2023-08-06 08:03:55",0.80382,13,del=666e20b067b6e65c
278,10766384,"Aymane Lotfi","2023-08-06 17:55:59",0.80382,6,aymanelotfi
279,10768669,"It's Maffz","2023-08-07 08:44:25",0.80382,2,itsmaffz
280,10711455,"Mae Pia Flor Cawaling","2023-08-09 01:57:07",0.80382,48,maepiaflorcawaling
281,10618096,"Christophe #2","2023-08-09 21:27:00",0.80382,18,cdedev
282,10786602,"Brandon Weinhofer","2023-08-12 03:46:21",0.80382,4,brandonweinhofer
283,10796306,"Christian Hauzar","2023-08-15 08:26:56",0.80382,8,christianhauzar
284,10574731,"Egor Kainov","2023-08-16 00:11:08",0.80382,11,egorkainov
285,10800372,chaobye,"2023-08-17 11:34:13",0.80382,9,chaobye
286,9591146,VicmanGilTafolla,"2023-08-20 22:27:13",0.80382,37,vicmangiltafolla
287,10591791,KTTCC,"2023-08-23 06:29:17",0.80382,23,ryukiishihara
288,10821865,"Deepesh Alwani","2023-08-23 14:18:35",0.80382,3,deepeshalwani
289,10617921,"Tanzimur Rahman","2023-06-28 15:15:24",0.80143,1,tanzimurrahman
290,10616875,"sandeep sreeram","2023-06-28 15:17:28",0.80143,2,sandeepsreeram
291,10612044,biffzs,"2023-06-29 14:56:44",0.80143,5,biffzs
292,10622169,"Mori Ryota","2023-07-11 00:38:42",0.80143,5,moriryota1111
293,9661666,imperio7,"2023-08-25 07:55:23",0.80143,49,imperio7
294,10388787,GeekyPS31,"2023-06-30 00:22:45",0.80143,2,geekyps31
295,10625527,meghaha,"2023-06-30 06:52:11",0.80143,1,meghaha
296,10621336,"Nguyen Duy Dang Khoa","2023-06-30 10:02:19",0.80143,11,nguyenduydangkhoa
297,10626828,"Leavy John","2023-07-04 07:37:28",0.80143,10,leavyjohn
298,10626956,"harshith n","2023-06-30 14:33:40",0.80143,5,harshithnallabelly
299,10631212,"Jack Yu 1893","2023-07-01 21:19:33",0.80143,3,jackyu1893
300,10631374,br0grammer,"2023-07-01 22:37:13",0.80143,1,br0grammer
301,10628539,"Jorge Guzman #2","2023-07-02 00:52:25",0.80143,2,jorgeguzman
302,10634935,"tim meggitt","2023-07-03 02:39:27",0.80143,1,timmeggitt
303,10635898,"Louise Maynard-Atem","2023-07-03 10:34:19",0.80143,2,louisemaynardatem
304,10636379,"MOHAMMAD GHOLIZADEH","2023-07-03 11:28:16",0.80143,2,mohammadsgholizadeh
305,10536922,"LSC lot","2023-07-28 09:27:29",0.80143,13,lsclot
306,10638267,"Muhammad Izam N","2023-07-03 19:13:06",0.80143,2,muhammadizamn
307,10640800,"Bhanavi Goyal","2023-07-04 10:08:48",0.80143,1,bhanavigoyal
308,10642288,"Alicia Jones83","2023-07-09 22:52:37",0.80143,5,aliciajones83
309,10643082,"lionel yifeng","2023-07-05 02:47:55",0.80143,3,lionelyifeng
310,10642955,"Liao Yu #2","2023-07-05 08:46:14",0.80143,10,doitliao
311,10645803,"Sandipa Halder","2023-07-05 14:42:25",0.80143,1,sandipahalder
312,10646082,Dylan_C_21,"2023-07-05 15:56:13",0.80143,1,dylanc21
313,10633089,"shamir shakir","2023-07-06 09:04:44",0.80143,2,shamirshakir
314,10646587,"Neil Patel14","2023-07-09 19:50:06",0.80143,14,neilpatel14
315,10652193,JoeyZou1,"2023-07-07 06:49:31",0.80143,2,joeyzou1
316,10650322,"Roman Hubčík","2023-07-29 13:13:20",0.80143,77,romanhubk
317,10653413,KorolevIgor,"2023-07-07 13:29:33",0.80143,2,garrymanbart
318,10654417,cramspor,"2023-07-09 20:37:22",0.80143,5,cramspor
319,10638157,"Brendan Wildt","2023-07-08 13:53:39",0.80143,3,brendanwildt
320,10656159,"Sizan Smith Lamichhane","2023-07-09 15:33:13",0.80143,10,sizansmithlamichhane
321,10657728,TPuja45,"2023-07-09 09:06:47",0.80143,2,puja69
322,10657741,"sabin Hey","2023-07-09 11:03:57",0.80143,2,sabinhey
323,10654381,"Yura Slastya","2023-08-17 16:10:28",0.80143,15,yuraslastya
